组织机构代码,单位名称,行政区划,行业代码,管理机构,建筑业总产值
58517854,中筑天佑科技有限公司,440604010025（东平社区居委会）,4910,4.40604E+11,25
59967531,佛山市园通市政园林工程有限公司,440604010200（河宕村民委员会）,4813,4.40604E+11,543
62116789,广东德燊科技有限公司,440604012204（东升村民委员会）,4910,4.40604E+11,37867
68517735,湖林建设装饰（广东）有限公司,440604010026（江滨社区居委会）,4710,4.40604E+11,567
07665238X,广东万顺达市政工程有限公司,440604011008（金沙社区居委会）,4813,4.40604E+11,5678
76705656,佛山市景能电力安装工程有限公司,440604010006（绿景社区居委会）,4910,4.40604E+11,5278
77902838,佛山市和勤建筑工程有限公司,440604012054（同华社区居委会）,4710,4.40604E+11,38796
